option,rooms,area,floor,total_floors,house_type,condition,price
For sale,3,76,8,9,Panel,All amenities,"€ 88,000"
For sale,3,82,4,5,Masonry,All amenities,"€ 98,000"
For rent,1,24,2,1,Masonry,All amenities,€ 220
For rent,2,55,1,9,Panel,All amenities,€ 330
For sale,2,49,3,3,Brick,All amenities,"€ 35,000"
For sale,3,61,7,9,Panel,All amenities,"€ 59,500"
For rent,2,58,2,9,Panel,All amenities,€ 260
For rent,1,45,1,3,Masonry,All amenities,€ 400
For sale,2,43,5,11,Brick-Panel,All amenities,"€ 74,900"
For rent,1,36,1,2,Masonry,All amenities,€ 250
For rent,5,150,1,2,Masonry,All amenities,"€ 1,700"
For rent,2,48,4,5,Panel,All amenities,€ 220
For rent,1,30,1,3,Masonry,All amenities,€ 270
For sale,3,62,8,9,Panel,All amenities,"€ 75,000"
For sale,3,64,7,9,Panel,All amenities,"€ 59,000"
For sale,2,47,4,5,Panel,All amenities,"€ 41,000"
For rent,1,28,3,5,Brick,All amenities,€ 220
For sale,3,104,5,5,Masonry,All amenities,"€ 130,000"
For sale,2,45.6,5,5,Panel,All amenities,"€ 51,500"
For sale,3,68,3,4,Panel,All amenities,"€ 110,000"
For rent,1,39,4,5,Brick-Panel,All amenities,€ 230
For sale,2,47,6,7,Masonry,All amenities,"€ 95,000"
For sale,3,79,9,9,Panel,All amenities,"€ 71,000"
For rent,2,50,8,9,Panel,All amenities,€ 270
For sale,4,95,1,9,Brick-Panel,All amenities,"€ 85,000"
For rent,2,47,1,1,Masonry,All amenities,€ 450
For sale,2,48,2,5,Panel,All amenities,"€ 42,000"
For rent,1,40,3,5,Brick-Panel,All amenities,€ 300
For rent,3,88,7,7,Brick-Panel,All amenities,€ 990
For rent,1,28,2,3,Masonry,All amenities,€ 220
For rent,1,21,3,5,Panel,All amenities,€ 340
For sale,4,75,3,8,Panel,All amenities,"€ 69,950"
For rent,1,22,1,3,Panel,All amenities,€ 235
For rent,1,33,2,5,Masonry,All amenities,€ 315
For sale,2,57,3,16,Panel,All amenities,"€ 70,000"
For sale,1,29.6,2,2,Wood,All amenities,"€ 22,000"
For rent,2,55,1,4,Panel,All amenities,€ 500
For rent,3,62,1,5,Panel,All amenities,€ 350
For sale,2,50,3,5,Panel,All amenities,"€ 49,800"
For sale,2,43,1,5,Masonry,All amenities,"€ 48,000"
For rent,2,49,3,3,Brick,All amenities,€ 240
For rent,1,32,8,9,Panel,All amenities,€ 260
For rent,2,51,3,5,Panel,All amenities,€ 300
For rent,2,79,4,4,Masonry,All amenities,€ 850
For rent,2,44,3,6,Masonry,Partial amenities,€ 280
For rent,1,36,2,2,Brick,All amenities,€ 250
For rent,1,30,3,5,Brick,All amenities,€ 260
For sale,1,37,1,1,Brick,All amenities,"€ 22,000"
For rent,2,42,4,6,Brick,All amenities,€ 275
For rent,1,40,2,4,Brick,All amenities,€ 240
For sale,2,56,1,6,Brick,All amenities,"€ 78,800"
For rent,1,24,2,5,Brick-Panel,All amenities,€ 250
For rent,1,34,1,9,Panel,All amenities,€ 190
For sale,3,138,3,6,Masonry,All amenities,"€ 275,000"
For rent,1,38,8,12,Brick,All amenities,€ 200
For sale,1,56,1,4,Brick-Panel,All amenities,"€ 78,000"
For rent,3,98,4,6,Brick,All amenities,"€ 1,100"
For rent,3,98,4,6,Brick,All amenities,"€ 1,100"
For rent,2,40,1,5,Brick,All amenities,€ 390
For rent,1,30,1,3,Brick,All amenities,€ 270
For rent,1,28,1,4,Brick-Panel,All amenities,€ 220
For sale,2,54,3,5,Brick-Panel,All amenities,"€ 34,000"
