option,rooms,area,floor,total_floors,house_type,condition,price
For rent,2,57,6,6,Brick-Panel,All amenities,€ 400
For rent,1,18,5,5,Brick,All amenities,€ 100
For rent,1,55,1,4,Panel,All amenities,€ 175
For sale,1,18,5,5,Panel-Brick,Partial amenities,"€ 12,000"
For sale,2,46,1,2,Brick,All amenities,"€ 40,000"
For rent,1,22,1,4,Masonry,All amenities,€ 250
For rent,1,38,4,4,Masonry,All amenities,€ 300
For rent,1,37,5,5,Panel,All amenities,€ 280
For rent,4,104,4,6,Masonry,All amenities,€ 850
For sale,2,51,2,9,Panel,All amenities,"€ 54,000"
For sale,3,77,1,4,Panel,All amenities,"€ 109,000"
For sale,2,65,1,4,Panel,All amenities,"€ 89,000"
For sale,2,38,2,5,Brick,All amenities,"€ 41,000"
For sale,2,58,9,10,Panel,All amenities,"€ 50,000"
For sale,3,101,4,18,Brick-Panel,All amenities,"€ 128,000"
For sale,4,130,1,5,Masonry,All amenities,"€ 104,000"
For sale,1,27,5,5,Panel,All amenities,"€ 28,000"
For rent,1,20,1,1,Wood,All amenities,€ 260
For sale,3,66,1,5,Panel,All amenities,"€ 53,000"
For rent,1,20,4,6,Brick-Panel,All amenities,€ 120
For rent,1,40,1,5,Brick,All amenities,€ 240
For sale,2,54,2,4,Brick-Panel,All amenities,"€ 38,000"
For rent,3,109,6,6,Brick-Panel,All amenities,€ 650
For sale,4,169.9,6,6,Brick-Panel,All amenities,"€ 185,000"
For sale,1,30,1,5,Brick,Partial amenities,"€ 25,000"
For rent,1,40,5,5,Panel,All amenities,€ 220
For sale,3,74,4,5,Masonry,All amenities,"€ 80,000"
For sale,2,45,3,5,Brick,All amenities,"€ 87,000"
For rent,2,48,3,6,Brick,All amenities,€ 600
For sale,5,247,4,6,Panel,All amenities,"€ 399,990"
For sale,4,164,6,6,Panel,All amenities,"€ 269,990"
For sale,2,330,5,6,Panel,All amenities,"€ 474,990"
For sale,4,132,4,6,Panel,All amenities,"€ 209,990"
For sale,6,168,2,5,Masonry,All amenities,"€ 310,800"
For sale,2,52,2,2,Brick,Partial amenities,"€ 39,900"
For sale,4,184,5,5,Panel-Brick,All amenities,"€ 172,000"
For sale,2,50,3,9,Panel,All amenities,"€ 55,000"
For sale,2,47,3,6,Panel-Brick,All amenities,"€ 68,000"
For sale,2,48,1,2,Brick,All amenities,"€ 54,000"
For sale,2,50,2,3,Brick,All amenities,"€ 42,000"
For sale,1,45,5,9,Panel,All amenities,"€ 47,800"
For sale,3,59,1,5,Panel,All amenities,"€ 45,500"
For rent,3,89,2,4,Brick,All amenities,€ 950
For sale,2,72,1,5,Panel,All amenities,"€ 145,000"
For sale,4,93,6,9,Panel,All amenities,"€ 95,000"
For sale,3,73.8,7,11,Masonry,All amenities,"€ 109,500"
For sale,3,122,1,3,Masonry,All amenities,"€ 262,000"
For rent,2,45,1,5,Panel,All amenities,€ 500
For sale,1,42,5,5,Panel,All amenities,"€ 31,000"
For rent,1,27,4,5,Panel,All amenities,€ 230
For sale,3,65,3,5,Brick-Panel,All amenities,"€ 70,000"
For sale,2,43,5,4,Brick,All amenities,"€ 30,000"
For sale,3,60,1,5,Panel,All amenities,"€ 54,000"
For rent,3,135,5,5,Brick,All amenities,"€ 1,000"
For rent,2,47,3,5,Masonry,All amenities,€ 450
For rent,1,18,2,4,Brick,All amenities,€ 200
For rent,3,200,2,5,Brick,All amenities,"€ 2,500"
For sale,5,225,5,6,Masonry,All amenities,"€ 258,000"
For rent,2,32,4,6,Brick,All amenities,€ 410
For rent,1,18,2,5,Panel,All amenities,€ 165
For rent,2,120,5,5,Masonry,All amenities,€ 820
For rent,2,49,5,5,Panel,All amenities,€ 380
For sale,4,97,6,6,Masonry,All amenities,"€ 145,350"
For sale,2,60,4,5,Brick,All amenities,"€ 40,000"
For sale,2,45,5,5,Panel,All amenities,"€ 43,500"
For sale,2,58.3,6,6,Masonry,All amenities,"€ 169,070"
For rent,3,79,7,9,Masonry,All amenities,€ 850
For rent,3,70,1,5,Masonry,All amenities,€ 470
For rent,1,39,1,5,Masonry,All amenities,€ 310
For rent,1,45,9,8,Panel,All amenities,€ 260
For rent,2,67,2,6,Panel-Brick,All amenities,€ 60
For sale,3,55,5,5,Panel,All amenities,"€ 53,500"
For rent,3,75,6,6,Masonry,All amenities,€ 700
For sale,3,71.7,2,5,Brick,All amenities,"€ 48,000"
For rent,3,78,5,5,Brick,All amenities,€ 700
For sale,5,167,21,24,Panel-Brick,All amenities,"€ 299,000"
For sale,2,68,3,3,Masonry,All amenities,"€ 64,500"
For rent,3,58,2,2,Brick,All amenities,€ 630
For rent,1,55,1,4,Brick-Panel,All amenities,€ 350
For sale,3,64,8,9,Panel,All amenities,"€ 72,300"
For rent,2,60,4,4,Masonry,All amenities,€ 390
For rent,3,100,2,6,Brick-Panel,All amenities,"€ 1,000"
For sale,1,42,2,5,Panel,All amenities,"€ 33,000"
For rent,1,25,2,2,Brick,All amenities,€ 180
For sale,3,67,1,5,Panel,All amenities,"€ 58,300"
For rent,2,45,3,5,Panel,All amenities,€ 300
For rent,2,67,3,5,Panel-Brick,All amenities,€ 35
For sale,2,45,4,5,Panel,All amenities,"€ 49,000"
For sale,2,190,4,5,Brick,All amenities,"€ 350,000"
For rent,2,81,2,9,Brick-Panel,All amenities,€ 650
For rent,1,37,9,9,Panel,All amenities,€ 250
For rent,1,20,2,6,Brick-Panel,All amenities,€ 370
For rent,2,61,6,8,Brick,All amenities,€ 390
For rent,1,40,4,5,Masonry,All amenities,€ 25
For rent,2,88,5,6,Masonry,All amenities,€ 550
For sale,3,76,5,7,Panel,All amenities,"€ 71,915"
For rent,2,50,3,5,Panel,All amenities,€ 300
For rent,1,30,2,5,Brick,All amenities,€ 220
For sale,2,33,3,6,Masonry,Partial amenities,"€ 80,000"
For sale,4,96.1,1,3,Masonry,All amenities,"€ 150,000"
For sale,3,62,5,5,Panel,Partial amenities,"€ 68,000"
For sale,2,42,5,5,Brick,All amenities,"€ 50,000"
For rent,3,75.5,6,6,Masonry,All amenities,€ 550
For sale,3,83,3,6,Masonry,All amenities,"€ 112,000"
For sale,2,51,3,6,Masonry,All amenities,"€ 110,000"
For sale,1,32,7,9,Panel,All amenities,"€ 33,000"
For sale,1,37,5,5,Brick-Panel,All amenities,"€ 28,990"
For sale,2,51,9,2,Panel,All amenities,"€ 49,000"
For rent,1,25,5,6,Brick,All amenities,€ 200
For rent,2,30,3,5,Masonry,Partial amenities,€ 350
For sale,4,107,1,5,Wood,All amenities,"€ 200,000"
For sale,2,47,5,5,Panel,All amenities,"€ 49,500"
For rent,2,60,5,5,Brick,All amenities,€ 550
For rent,1,33,5,6,Masonry,All amenities,€ 180
For sale,3,78,4,6,Masonry,All amenities,"€ 159,732"
For rent,4,75,1,2,Wood,All amenities,€ 450
For sale,2,52,9,16,Masonry,All amenities,"€ 80,000"
For sale,4,96,4,5,Masonry,All amenities,"€ 129,500"
For sale,2,49,1,5,Panel,All amenities,"€ 39,500"
For sale,3,68,3,7,Panel,All amenities,"€ 77,950"
For rent,2,44,4,5,Brick,All amenities,€ 300
For rent,2,43,8,8,Brick,All amenities,€ 350
For rent,1,35,6,9,Panel,All amenities,€ 250
For sale,2,53,4,5,Brick,All amenities,"€ 53,500"
For rent,1,34,4,12,Brick-Panel,All amenities,€ 200
For sale,3,76,1,4,Masonry,All amenities,"€ 102,000"
For rent,3,110,3,5,Masonry,All amenities,€ 600
For sale,3,63,4,9,Panel,All amenities,"€ 65,000"
For sale,3,79,2,5,Brick,All amenities,"€ 110,600"
For sale,3,54,5,5,Panel,All amenities,"€ 39,000"
For rent,2,35,3,4,Masonry,All amenities,€ 400
For rent,2,81,5,5,Masonry,All amenities,€ 650
For rent,1,16,1,5,Brick,All amenities,€ 17
For sale,2,51,5,5,Brick-Panel,All amenities,"€ 42,000"
For sale,2,51,8,9,Panel,All amenities,"€ 43,300"
For sale,4,122,5,5,Brick,All amenities,"€ 225,000"
For sale,3,71,6,6,Masonry,All amenities,"€ 92,800"
For sale,2,42,6,6,Masonry,All amenities,"€ 57,800"
For rent,4,112,3,3,Brick,All amenities,"€ 1,200"
For rent,2,52,3,4,Masonry,All amenities,€ 650
For sale,1,33,4,5,Panel,All amenities,"€ 34,000"
For sale,1,33,3,5,Panel,All amenities,"€ 34,000"
For sale,3,74.2,9,9,Brick-Panel,All amenities,"€ 79,000"
For sale,3,61,4,5,Panel,All amenities,"€ 58,000"
For rent,1,44,2,9,Panel,All amenities,€ 350
For sale,3,54,4,5,Panel,All amenities,"€ 68,000"
For sale,1,36,5,9,Panel,All amenities,"€ 35,000"
For rent,1,20,3,5,Brick-Panel,All amenities,€ 235
For rent,2,43,1,9,Brick-Panel,All amenities,€ 360
For rent,3,88,5,5,Brick,All amenities,€ 400
For rent,2,25,1,2,Masonry,All amenities,€ 250
For rent,3,75,2,16,Panel,All amenities,€ 350
For sale,1,39,2,5,Panel,All amenities,"€ 31,900"
For rent,3,95,3,6,Masonry,All amenities,"€ 1,050"
For rent,3,52,3,3,Masonry,All amenities,€ 520
For sale,2,48,3,5,Panel,All amenities,"€ 43,500"
For sale,3,68,4,5,Panel,All amenities,"€ 43,900"
For sale,1,38.5,2,9,Panel,All amenities,"€ 31,000"
For rent,1,30,5,5,Panel,All amenities,€ 200
For sale,3,61,4,5,Panel,All amenities,"€ 67,500"
For sale,3,68,1,9,Panel,All amenities,"€ 62,000"
Buying,2,50,5,9,Panel,All amenities,
For sale,2,72,3,4,Brick,All amenities,"€ 68,500"
For rent,2,85,3,6,Masonry,All amenities,€ 500
For sale,2,50,4,9,Panel,All amenities,"€ 60,000"
For rent,2,57,5,7,Panel-Brick,All amenities,€ 750
For sale,2,51,3,5,Panel,All amenities,"€ 34,000"
For rent,2,49,3,5,Masonry,All amenities,€ 400
For rent,2,52,3,4,Brick,All amenities,€ 700
For sale,2,50,2,4,Masonry,All amenities,"€ 64,480"
For rent,2,50,4,5,Panel,All amenities,€ 350
For sale,1,31,5,5,Brick,All amenities,"€ 33,000"
For rent,2,53,1,2,Wood,Partial amenities,€ 250
For rent,2,56,1,6,Masonry,All amenities,€ 590
For sale,2,50,9,9,Panel-Brick,All amenities,"€ 58,000"
For rent,1,40,6,6,Masonry,All amenities,€ 520
For sale,2,59,2,2,Brick,All amenities,"€ 38,999"
For rent,2,45,1,6,Masonry,All amenities,€ 500
For rent,2,82,6,6,Masonry,All amenities,€ 670
For sale,1,39,3,5,Panel,All amenities,"€ 30,500"
For rent,2,60,2,5,Masonry,All amenities,€ 400
For rent,1,34,4,5,Brick-Panel,All amenities,€ 260
For sale,4,79,4,9,Panel,All amenities,"€ 74,500"
For rent,1,67,1,16,Brick-Panel,All amenities,€ 180
For rent,4,96,5,6,Masonry,All amenities,€ 650
For rent,3,55,5,5,Panel,All amenities,€ 380
For sale,2,49,2,9,Panel,All amenities,"€ 50,000"
For rent,1,49,10,12,Panel,All amenities,€ 300
For rent,2,52,2,5,Masonry,All amenities,€ 420
For rent,1,19,5,5,Brick,All amenities,€ 260
For rent,2,61,4,4,Masonry,All amenities,€ 750
For rent,4,145,5,6,Masonry,All amenities,"€ 1,200"
For sale,2,48,4,5,Panel,All amenities,"€ 87,000"
For sale,2,49,2,5,Panel,All amenities,"€ 45,000"
For sale,3,62,3,5,Panel,All amenities,"€ 53,900"
For sale,2,56,3,4,Masonry,All amenities,"€ 75,000"
For rent,2,72,4,7,Panel,All amenities,€ 650
For rent,3,130,9,9,Brick-Panel,All amenities,€ 690
For sale,2,50,1,5,Panel,All amenities,"€ 38,500"
For rent,1,20,1,5,Brick,All amenities,€ 260
For sale,2,46,2,6,Masonry,All amenities,"€ 99,029"
For sale,3,82,2,4,Brick,All amenities,"€ 124,000"
For sale,2,46.5,6,6,Masonry,All amenities,"€ 81,400"
For sale,2,49,7,9,Panel,All amenities,"€ 60,500"
For rent,1,14,5,6,Masonry,All amenities,€ 150
For sale,3,108,6,6,Brick,All amenities,"€ 169,000"
For sale,3,74,6,12,Panel,All amenities,"€ 115,000"
For sale,3,76,1,5,Masonry,All amenities,"€ 129,000"
For rent,1,20,1,5,Brick-Panel,All amenities,€ 160
For sale,2,50,8,9,Panel,All amenities,"€ 54,000"
For sale,4,171,4,6,Masonry,All amenities,"€ 385,000"
For sale,3,68,2,7,Panel,All amenities,"€ 118,000"
For sale,1,22,2,2,Wood,All amenities,"€ 7,900"
For rent,1,35.6,4,6,Masonry,All amenities,€ 550
For sale,1,19,3,5,Brick,All amenities,"€ 19,900"
For rent,1,35,2,3,Brick,All amenities,€ 230
For sale,3,76,5,5,Brick,All amenities,"€ 62,000"
For sale,1,25,2,2,Wood,All amenities,"€ 12,000"
For sale,2,67,5,18,Panel,All amenities,"€ 89,900"
For sale,1,18,5,5,Brick,All amenities,"€ 11,800"
For rent,1,15,4,5,Masonry,All amenities,€ 130
For sale,2,43,1,5,Masonry,All amenities,"€ 43,999"
For sale,2,38.2,2,5,Panel,All amenities,"€ 36,900"
For rent,3,40,2,2,Wood,Partial amenities,€ 120
For sale,4,78,9,9,Panel,All amenities,"€ 73,000"
For sale,3,77,4,7,Masonry,All amenities,"€ 115,000"
For sale,1,33,1,3,Masonry,All amenities,"€ 32,900"
For sale,2,50,2,9,Panel,All amenities,"€ 54,000"
For sale,2,40,4,5,Masonry,All amenities,"€ 98,000"
For rent,1,20,4,5,Masonry,Partial amenities,€ 155
For sale,3,66,2,5,Panel,All amenities,"€ 81,900"
For rent,1,28,3,9,Masonry,All amenities,€ 30
For sale,2,61,1,9,Panel,All amenities,"€ 70,000"
For sale,3,75,7,9,Panel,All amenities,"€ 75,000"
For rent,1,37,1,1,Wood,Partial amenities,€ 170
For sale,3,78,2,7,Panel,All amenities,"€ 86,000"
For sale,3,62,4,5,Panel,All amenities,"€ 47,000"
For sale,4,100,6,7,Masonry,All amenities,"€ 165,000"
For sale,1,28,5,5,Panel,All amenities,"€ 27,800"
For sale,3,79,9,9,Panel,All amenities,"€ 80,000"
For sale,3,64,5,9,Panel,All amenities,"€ 67,000"
For sale,2,55,3,5,Panel,All amenities,"€ 77,900"
For sale,2,50,5,5,Panel,All amenities,"€ 52,000"
For sale,1,35,4,5,Brick,All amenities,"€ 42,900"
For sale,2,36.6,1,6,Panel-Brick,All amenities,"€ 60,000"
For rent,2,32,3,3,Masonry,All amenities,€ 250
For rent,2,50,3,6,Brick,All amenities,€ 600
For sale,3,111.4,2,9,Panel-Brick,All amenities,"€ 164,500"
For sale,3,68,3,5,Brick-Panel,All amenities,"€ 60,000"
For rent,1,32,1,2,Brick,All amenities,€ 200
For sale,2,38,2,5,Panel,All amenities,"€ 36,900"
For sale,2,53,6,9,Panel,All amenities,"€ 54,300"
For rent,3,71,6,6,Masonry,All amenities,€ 725
For sale,2,41.9,3,5,Brick,All amenities,"€ 62,500"
For sale,2,50,6,9,Panel,All amenities,"€ 54,000"
For sale,2,52,4,9,Masonry,All amenities,"€ 85,000"
For rent,2,50,1,5,Brick,All amenities,€ 26
For sale,1,32,5,5,Brick-Panel,All amenities,"€ 24,700"
For rent,1,10,6,6,Masonry,All amenities,€ 190
For rent,3,57,1,9,Panel,All amenities,€ 350
For rent,3,57,1,9,Panel,All amenities,€ 350
For rent,2,42,4,5,Brick,All amenities,€ 320
For rent,2,46,3,5,Masonry,All amenities,€ 19
For rent,1,32,5,9,Panel,All amenities,€ 230
For sale,5,91,2,4,Brick,All amenities,"€ 132,000"
For rent,3,52,1,2,Wood,Partial amenities,€ 240
For sale,1,32,4,9,Panel,All amenities,"€ 35,500"
For rent,2,46,5,5,Panel,All amenities,€ 300
For sale,2,47,3,5,Brick,All amenities,"€ 59,500"
For rent,2,51,2,6,Masonry,All amenities,€ 340
For rent,2,60,2,5,Brick,All amenities,€ 690
For sale,3,72,3,5,Brick-Panel,All amenities,"€ 76,000"
For sale,1,42,5,5,Brick,All amenities,"€ 27,000"
For rent,2,46,2,2,Brick,All amenities,€ 250
For sale,3,87,4,5,Brick,All amenities,"€ 142,000"
For rent,1,58,6,7,Panel,All amenities,€ 800
For sale,1,36.6,6,7,Masonry,All amenities,"€ 102,480"
For rent,1,46,5,6,Brick-Panel,All amenities,€ 27
For sale,4,95,6,9,Panel,All amenities,"€ 91,000"
Change,1,38,1,5,Brick,All amenities,
For sale,1,18,3,5,Brick-Panel,Partial amenities,"€ 11,000"
For sale,2,51,3,5,Brick,All amenities,"€ 66,000"
For sale,3,54,3,5,Brick,All amenities,"€ 59,000"
For sale,1,24,4,4,Brick,All amenities,"€ 20,700"
For rent,2,50,1,5,Panel,All amenities,€ 350
For rent,2,57,2,5,Masonry,All amenities,€ 500
For rent,2,60,12,12,Brick-Panel,All amenities,€ 330
For rent,2,42,4,5,Brick,All amenities,€ 340
For sale,3,60,2,4,Masonry,All amenities,"€ 119,000"
For rent,1,32,1,9,Brick,All amenities,€ 220
For sale,5,154,2,5,Brick,All amenities,"€ 333,000"
For rent,2,50,6,9,Panel,All amenities,€ 220
For sale,2,54,4,6,Brick,All amenities,"€ 65,000"
For rent,2,37,4,5,Brick,All amenities,€ 35
For rent,1,52,6,15,Brick-Panel,All amenities,€ 390
For rent,2,42,3,5,Brick,All amenities,€ 240
For sale,1,40,1,9,Panel,All amenities,"€ 37,000"
For sale,3,63,5,9,Panel,All amenities,"€ 60,000"
For rent,1,20,5,6,Masonry,All amenities,€ 140
For sale,2,60,2,3,Panel-Brick,All amenities,"€ 97,010"
For rent,3,92,12,25,Brick-Panel,All amenities,€ 650
For sale,2,58,8,9,Panel,All amenities,"€ 53,800"
For sale,1,30,4,5,Panel,All amenities,"€ 27,900"
For sale,4,75,6,9,Panel,All amenities,"€ 69,900"
For rent,1,26,4,5,Brick,All amenities,€ 330
For rent,1,20,1,5,Masonry,All amenities,€ 295
For sale,3,72,3,5,Brick-Panel,All amenities,"€ 76,000"
For rent,2,72,2,4,Panel-Brick,All amenities,€ 500
For sale,3,55,5,5,Panel,All amenities,"€ 51,000"
For sale,3,60,6,9,Panel,All amenities,"€ 60,500"
For sale,2,57,2,2,Wood,Partial amenities,"€ 18,000"
For sale,1,42,3,5,Panel,All amenities,"€ 33,000"
For sale,2,51,3,6,Masonry,All amenities,"€ 155,000"
For sale,5,90,1,9,Panel,All amenities,"€ 73,900"
For sale,2,59,5,9,Panel,All amenities,"€ 59,700"
For sale,4,113,3,5,Masonry,All amenities,"€ 200,000"
For rent,1,25,2,2,Masonry,All amenities,€ 280
For rent,2,35,3,5,Brick,All amenities,€ 220
For sale,3,67,1,5,Panel-Brick,All amenities,"€ 50,000"
For sale,2,50,2,3,Masonry,All amenities,"€ 45,900"
For sale,2,41,1,3,Masonry,All amenities,"€ 58,900"
For sale,3,79,5,5,Masonry,All amenities,"€ 95,800"
For rent,1,14,2,9,Panel,All amenities,€ 135
For rent,1,22,2,2,Brick,All amenities,€ 250
For rent,2,36,4,5,Panel,Partial amenities,€ 295
For sale,4,77,5,9,Panel,All amenities,"€ 75,000"
For sale,2,37,1,6,Masonry,All amenities,"€ 45,000"
For rent,2,46,2,6,Masonry,All amenities,€ 450
For sale,3,77,4,6,Masonry,All amenities,"€ 198,223"
For sale,3,71.6,6,6,Masonry,All amenities,"€ 130,300"
For rent,1,27,1,5,Panel,All amenities,€ 220
For rent,2,45,5,6,Brick,All amenities,€ 450
For sale,1,17,3,3,Brick,All amenities,"€ 15,500"
For sale,4,146,6,6,Masonry,All amenities,"€ 270,000"
For sale,2,64,10,18,Panel,All amenities,"€ 95,000"
For sale,2,46,6,9,Panel,All amenities,"€ 53,000"
For sale,1,45,3,4,Masonry,All amenities,"€ 105,000"
For sale,1,40,3,4,Masonry,All amenities,"€ 110,000"
For sale,3,64.2,4,6,Masonry,All amenities,"€ 152,475"
For sale,3,63,2,9,Brick,All amenities,"€ 48,000"
For rent,2,56,2,7,Masonry,All amenities,€ 43
For sale,1,37,8,12,Brick-Panel,All amenities,"€ 49,000"
For sale,2,62,2,9,Panel,All amenities,"€ 54,900"
For sale,2,207,2,2,Wood,All amenities,"€ 79,000"
For sale,1,31,4,5,Panel,Partial amenities,"€ 17,900"
For sale,1,29,4,4,Brick,All amenities,"€ 35,000"
For sale,3,78,2,5,Panel,All amenities,"€ 103,000"
For sale,1,26,5,5,Brick,All amenities,"€ 26,500"
For sale,3,80,3,6,Masonry,All amenities,"€ 175,000"
For sale,3,67,1,5,Brick-Panel,All amenities,"€ 79,000"
For rent,3,60,1,3,Masonry,All amenities,€ 400
For rent,2,52.1,2,4,Masonry,All amenities,€ 650
For rent,3,90,5,30,Masonry,All amenities,€ 650
For rent,3,90,5,30,Masonry,All amenities,€ 650
For sale,2,41,2,6,Panel,All amenities,"€ 92,990"
For sale,1,23,2,6,Panel,All amenities,"€ 49,990"
For sale,3,64,5,5,Panel,All amenities,"€ 48,300"
For sale,1,28,6,6,Panel,All amenities,"€ 61,990"
For sale,1,24,2,6,Panel,All amenities,"€ 51,990"
For sale,1,23,2,6,Panel,All amenities,"€ 50,990"
For sale,3,55,3,6,Panel,All amenities,"€ 124,990"
For sale,3,91,6,6,Panel,All amenities,"€ 139,990"
For sale,1,39,1,5,Panel,All amenities,"€ 30,500"
For sale,1,37,4,5,Brick,All amenities,"€ 32,700"
For rent,1,40,1,5,Brick,All amenities,€ 25
For sale,2,50,3,5,Panel,All amenities,"€ 37,900"
For sale,3,66,5,5,Panel,All amenities,"€ 55,300"
For rent,1,16,4,5,Panel,All amenities,€ 160
For sale,2,53,1,5,Brick-Panel,All amenities,"€ 64,000"
For sale,2,44,2,5,Brick,All amenities,"€ 50,000"
For sale,2,49,1,5,Panel,All amenities,"€ 46,700"
For rent,1,35,3,9,Brick-Panel,All amenities,€ 265
For sale,2,49,2,5,Brick,All amenities,"€ 32,000"
For sale,3,81,7,8,Brick-Panel,All amenities,"€ 185,000"
For rent,1,16,1,5,Brick-Panel,All amenities,€ 230
For sale,3,53,1,2,Brick,Partial amenities,"€ 59,000"
For rent,2,37,4,4,Brick,All amenities,€ 310
For sale,3,148,3,3,Panel-Brick,All amenities,"€ 210,000"
For sale,3,80,5,5,Brick-Panel,All amenities,"€ 128,000"
For sale,6,138,6,7,Brick,All amenities,"€ 115,000"
For sale,1,22,1,5,Brick,All amenities,"€ 18,800"
For sale,2,51,3,5,Panel,All amenities,"€ 49,000"
For sale,3,59,4,5,Brick,All amenities,"€ 64,000"
For sale,1,33,5,5,Masonry,All amenities,"€ 48,285"
For sale,2,58,3,5,Panel,All amenities,"€ 96,000"
For rent,2,28,4,5,Masonry,All amenities,€ 280
For sale,1,48,5,5,Masonry,All amenities,"€ 69,600"
For sale,2,54,1,5,Masonry,All amenities,"€ 72,495"
For rent,2,52,5,9,Panel,All amenities,€ 300
For sale,4,139,4,4,Panel,All amenities,"€ 199,500"
For sale,2,40,1,4,Masonry,All amenities,"€ 37,000"
For sale,3,101,3,7,Masonry,All amenities,"€ 170,000"
For rent,1,40,6,9,Panel,All amenities,€ 270
For sale,1,24,2,2,Wood,Partial amenities,"€ 15,999"
For sale,2,49,4,5,Panel,All amenities,"€ 45,000"
For sale,3,58,2,6,Brick,All amenities,"€ 82,000"
For rent,4,125,2,2,Wood,All amenities,€ 900
For rent,1,18,4,6,Masonry,All amenities,€ 300
For rent,3,100,3,5,Masonry,All amenities,€ 760
For sale,3,60,3,5,Panel,All amenities,"€ 52,000"
For sale,3,56,1,5,Panel,All amenities,"€ 35,000"
For sale,3,60,2,5,Panel,All amenities,"€ 51,000"
For sale,2,56,1,5,Brick-Panel,All amenities,"€ 43,500"
For rent,2,63,2,5,Masonry,All amenities,"€ 1,100"
For sale,2,36.2,3,4,Brick,All amenities,"€ 32,900"
For sale,3,79,1,4,Brick,All amenities,"€ 74,500"
For rent,3,116,2,5,Masonry,All amenities,"€ 1,800"
For rent,2,122,2,3,Masonry,All amenities,"€ 1,600"
For rent,3,69,5,5,Panel,All amenities,€ 320
For sale,3,63,5,5,Panel,All amenities,"€ 76,494"
For sale,2,56,2,6,Brick-Panel,All amenities,"€ 108,000"
For sale,2,41,2,5,Brick,All amenities,"€ 40,000"
For sale,1,28,5,5,Panel,All amenities,"€ 31,900"
For sale,3,59,1,5,Panel,All amenities,"€ 44,988"
For sale,3,59,1,5,Panel,All amenities,"€ 45,500"
For sale,1,24,1,2,Masonry,All amenities,"€ 25,000"
For rent,1,20,2,10,Panel-Brick,All amenities,€ 165
For rent,2,55,4,5,Panel,All amenities,€ 300
For sale,2,50,1,3,Brick,All amenities,"€ 34,000"
For rent,2,45,4,5,Masonry,All amenities,€ 400
For rent,1,26,1,5,Brick-Panel,All amenities,€ 260
For sale,4,155,2,5,Masonry,All amenities,"€ 434,000"
For rent,1,24,3,6,Masonry,All amenities,€ 125
For sale,2,49,5,9,Panel,All amenities,"€ 45,000"
For rent,2,42,4,5,Brick,All amenities,€ 330
For rent,1,32,2,4,Masonry,All amenities,€ 25
For sale,2,47,1,3,Brick,All amenities,"€ 47,800"
For sale,2,62,2,9,Panel,All amenities,"€ 54,900"
For rent,3,131,5,5,Masonry,All amenities,"€ 1,200"
For rent,2,61,5,5,Masonry,All amenities,€ 700
For rent,5,161,5,5,Masonry,All amenities,"€ 2,200"
For rent,2,57,3,3,Brick,Partial amenities,€ 300
For sale,2,55,3,5,Masonry,All amenities,"€ 118,000"
For rent,1,16,4,9,Brick-Panel,All amenities,€ 230
For sale,3,54,5,5,Brick,All amenities,"€ 70,000"
For rent,4,95,3,5,Brick,All amenities,€ 600
For rent,1,35,1,12,Brick,All amenities,€ 250
For sale,3,83,8,9,Panel,All amenities,"€ 73,500"
For sale,2,50,3,9,Panel,All amenities,"€ 53,500"
For rent,1,49,3,7,Panel-Brick,All amenities,€ 290
For rent,2,46,6,12,Brick-Panel,All amenities,€ 450
For rent,2,47,5,5,Brick-Panel,All amenities,€ 300
For sale,3,47,9,9,Masonry,All amenities,"€ 97,000"
For sale,1,35,2,5,Brick-Panel,All amenities,"€ 44,900"
For sale,2,51,7,9,Panel,All amenities,"€ 42,900"
For sale,2,51,1,9,Panel,All amenities,"€ 51,000"
For rent,1,40,7,9,Brick,All amenities,€ 250
For sale,1,31,2,5,Panel,All amenities,"€ 33,550"
For sale,1,28,1,2,Brick,All amenities,"€ 21,990"
For sale,3,181,5,6,Masonry,All amenities,"€ 169,000"
For sale,2,65.5,2,6,Masonry,All amenities,"€ 101,525"
For rent,3,113,5,5,Masonry,All amenities,€ 750
For sale,2,55,2,7,Masonry,All amenities,"€ 153,500"
For sale,2,64,1,5,Masonry,All amenities,"€ 70,000"
For rent,2,59,2,6,Masonry,All amenities,€ 400
For sale,5,132,3,5,Masonry,All amenities,"€ 164,900"
For sale,3,79.4,2,7,Panel-Brick,All amenities,"€ 218,000"
For sale,3,62,9,9,Panel,All amenities,"€ 61,500"
For sale,1,33,1,5,Masonry,All amenities,"€ 26,000"
For sale,3,63,1,9,Panel,All amenities,"€ 65,500"
For rent,1,21,2,4,Brick,All amenities,€ 190
For sale,3,128,5,6,Panel-Brick,All amenities,"€ 198,000"
For sale,3,95,3,5,Brick-Panel,All amenities,"€ 144,000"
For sale,3,76,6,9,Panel,All amenities,"€ 92,700"
For sale,3,77,2,3,Brick,All amenities,"€ 127,500"
For sale,2,89,4,4,Brick,All amenities,"€ 230,000"
For sale,2,48,2,3,Brick,All amenities,"€ 33,500"
For rent,2,48,5,5,Panel,All amenities,€ 220
For sale,1,44,7,9,Panel,All amenities,"€ 34,450"
For sale,3,80,4,4,Panel,All amenities,"€ 139,000"
For sale,3,60,5,5,Panel,All amenities,"€ 51,900"
For rent,3,125,5,2,Panel,All amenities,"€ 1,350"
For sale,2,51,2,9,Panel,All amenities,"€ 57,850"
For sale,3,74,11,12,Brick,All amenities,"€ 87,000"
